"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C20","0402","6428.15mil","5013.779mil","6428.15mil","5013.779mil","6428.15mil","5030.512mil","B","270.00","100n"
"IC4","SC70-5","6827.087mil","4733.123mil","6870.394mil","4758.714mil","6870.394mil","4758.714mil","B","180.00","SN74LV1T125DCKR"
"C21","0603","5951.772mil","4699.803mil","5951.772mil","4699.803mil","5951.772mil","4671.26mil","B","90.00","100n"
"C22","0603","5951.772mil","4576.772mil","5951.772mil","4576.772mil","5951.772mil","4605.315mil","B","270.00","100n"
"D2","TPD6E05U06_PASS","6348.425mil","4665.354mil","6348.425mil","4665.354mil","6373.031mil","4606.299mil","T","90.00","TPD6E05U06"
"J2","SHF-105-01-X-D-SM","6112.205mil","4675.187mil","6112.205mil","4675.197mil","6192.205mil","4575.197mil","T","90.00","SHF-105-01-L-D-SM"
"R19","0402","6242.126mil","4534.449mil","6242.126mil","4534.449mil","6261.024mil","4534.449mil","B","180.00","10k"
"R23","0402","6679.134mil","4866.142mil","6679.134mil","4866.142mil","6679.134mil","4885.039mil","B","270.00","0R"
"R24","0402","6632.874mil","4459.646mil","6632.874mil","4459.646mil","6632.874mil","4478.543mil","B","270.00","0R"
"Y1","Crystal_5x7mm","6085.63mil","4676.181mil","6134.842mil","4552.165mil","6036.417mil","4552.165mil","B","90.00","MQ-6.000-12-30/30/"

